"Label","OTUs","Genus","Morphology","MajorCategory","MorphoFunctionalGroup"
"clienc","Cliona_encrusting","Cliona","encrusting","Sponge","Sponge_encrusting"
"clvclu","Clavelina_clustered","Clavelina","clustered","Other Sessile Invertebrates","Ascidian_clustered"
"codcom","Codium_corticated_macrophyte","Codium","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"coearb","Coelogorgia_arborescent","Coelogorgia","arborescent","Gorgonian","Gorgonian_arborescent"
"coeenc","Coeloseris_encrusting","Coeloseris","encrusting","Scleractinian","Hard coral_encrusting"
"coemas","Coeloseris_massive","Coeloseris","massive","Scleractinian","Hard coral_massive"
"conbus","Conglomeratusclera_bushy","Conglomeratusclera","bushy","Octocoral","Soft coral_bushy"
"conenc","Condylactis_encrusting","Condylactis","encrusting","Other Sessile Invertebrates","Actiniaria_encrusting"
"corenc","Corallimorpharia_encrusting","Corallimorpharia","encrusting","Other Sessile Invertebrates","Corallimorpharia_encrusting"
"corenc1","Corallimorpharia_encrusting1","Corallimorpharia","encrusting1","Other Sessile Invertebrates","Corallimorpharia_encrusting"
"corenc2","Corallimorpharia_encrusting2","Corallimorpharia","encrusting2","Other Sessile Invertebrates","Corallimorpharia_encrusting"
"corenc3","Corallimorpharia_encrusting3","Corallimorpharia","encrusting3","Other Sessile Invertebrates","Corallimorpharia_encrusting"
"corenc4","Corallimorpharia_encrusting4","Corallimorpharia","encrusting4","Other Sessile Invertebrates","Corallimorpharia_encrusting"
"cosenc","Coscinaraea_encrusting","Coscinaraea","encrusting","Scleractinian","Hard coral_encrusting"
"cosmas","Coscinaraea_massive","Coscinaraea","massive","Scleractinian","Hard coral_massive"
"crioth","Crinoidae_other_life","Crinoidae","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"culnov","Culcita_other_life","Culcita","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"cyafil","Cyanobacteria_filamentous","Cyanobacteria","filamentous","Turf Algae","Turf_Turf"
"cycenc","Cycloseris_encrusting","Cycloseris","encrusting","Scleractinian","Hard coral_encrusting"
"cycmas","Cycloseris_massive","Cycloseris","massive","Scleractinian","Hard coral_massive"
