"Label","OTUs","Genus","Morphology","MajorCategory","MorphoFunctionalGroup"
"sclbus","Scleronephthya_bushy","Scleronephthya","bushy","Octocoral","Soft coral_bushy"
"scomas","Scolymia_massive","Scolymia","massive","Scleractinian","Hard coral_massive"
"sebcof","Sebdenia_corticated_foliose","Sebdenia","corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"serbus","Seriatopora_bushy","Seriatopora","bushy","Scleractinian","Hard coral_bushy"
"shatws","shadow_TWS","shadow","TWS","Shadow","TWS"
"sidenc","Siderastrea_encrusting","Siderastrea","encrusting","Scleractinian","Hard coral_encrusting"
"sidmas","Siderastrea_massive","Siderastrea","massive","Scleractinian","Hard coral_massive"
"siltus","silt_unstable_substrate","silt","unstable_substrate","Unstable Substrate","Unstable substrate"
"sinbus","Sinularia/Cladiella/Klyxum_bushy","Sinularia/Cladiella/Klyxum","bushy","Octocoral","Soft coral_bushy"
"sindig","Sinularia/Cladiella/Klyxum_digitate","Sinularia/Cladiella/Klyxum","digitate","Octocoral","Soft coral_digitate"
"sinlob","Sinularia/Cladiella/Klyxum_lobate","Sinularia/Cladiella/Klyxum","lobate","Octocoral","Soft coral_lobate"
"sipbus","Siphonogorgia_bushy","Siphonogorgia","bushy","Octocoral","Soft coral_bushy"
"sipfan","Siphonogorgia_fan","Siphonogorgia","fan","Gorgonian","Gorgonian_fan"
"solfan","Solenocaulon_fan","Solenocaulon","fan","Gorgonian","Gorgonian_fan"
"spacof","Spatoglossum/Stypopodium_corticated_foliose","Spatoglossum/Stypopodium","corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"spoarb","Sponge_arborescent","Sponge","arborescent","Sponge","Sponge_arborescent"
"spoenc","Sponge_encrusting","Sponge","encrusting","Sponge","Sponge_encrusting"
"spofla","Sponge_flabellate","Sponge","flabellate","Sponge","Sponge_flabellate"
"spoglo","Sponge_globular","Sponge","globular","Sponge","Sponge_globular"
"spomas","Sponge_massive","Sponge","massive","Sponge","Sponge_massive"
"spopap","Sponge_papillate","Sponge","papillate","Sponge","Sponge_papillate"
"spoped","Sponge_pedunculate","Sponge","pedunculate","Sponge","Sponge_pedunculate"
"sporep","Sponge_repent_branching","Sponge","repent_branching","Sponge","Sponge_repent_branching"
"spotub","Sponge_tubular","Sponge","tubular","Sponge","Sponge_tubular"
"spycom","Spyridia_corticated_macrophyte","Spyridia","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"stebus","Stereonephthya_bushy","Stereonephthya","bushy","Octocoral","Soft coral_bushy"
"stienc","Stichodactylidae_encrusting","Stichodactylidae","encrusting","Other Sessile Invertebrates","Actiniaria_encrusting"
"stlenc","Stylocoeniella_encrusting","Stylocoeniella","encrusting","Scleractinian","Hard coral_encrusting"
"stpcof","Spatoglossum/Stypopodium_corticated_foliose","Spatoglossum/Stypopodium","corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"stybus","Stylophora_bushy","Stylophora","bushy","Scleractinian","Hard coral_bushy"
"syabus","Stylaster_bushy","Stylaster","bushy","Scleractinian","Hard coral_bushy"
"symenc","Lobophyllia_encrusting","Lobophyllia","encrusting","Scleractinian","Hard coral_encrusting"
"symmas","Lobophyllia_massive","Lobophyllia","massive","Scleractinian","Hard coral_massive"
"taptws","tape_TWS","tape","TWS","Other","TWS"
"terenc","Terpios_encrusting","Terpios","encrusting","Sponge","Sponge_encrusting"
"thalhem","Thalassia_hemprichii_seagrass","Thalassia","hemprichii_seagrass","Seagrass","Seagrass"
"triart","Tricleocarpa_articulated_calcareous","Tricleocarpa","articulated_calcareous","Macroalgae","Macroalgae_articulated_calcareous"
"trienc","Tridacna_encrusting","Tridacna","encrusting","Other Sessile Invertebrates","Other sessile invertebrates"
"tubmas","Tubipora_massive","Tubipora","massive","Scleractinian","Hard coral_massive"
"turcom","Turbinaria_corticated_foliose","Turbinaria","corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"turenc","Turbinaria_encrusting","Turbinaria","encrusting","Scleractinian","Hard coral_encrusting"
"turfil","Turf_filamentous","Turf","filamentous","Turf Algae","Turf_Turf"
"turfol","Turbinaria_foliose","Turbinaria","foliose","Scleractinian","Hard coral_foliose"
"turmas","Turbinaria_massive","Turbinaria","massive","Scleractinian","Hard coral_massive"
"turrad_enc","Turbinaria_encrusting","Turbinaria","encrusting","Scleractinian","Hard coral_encrusting"
"tursed","Turf_sedimented","Turf","sedimented","Turf Algae","Turf_Turf"
"tusbus","Tubastraea/Cladopsammia_bushy","Tubastraea/Cladopsammia","bushy","Scleractinian","Hard coral_bushy"
"tusenc","Tubastraea_encrusting","Tubastraea","encrusting","Scleractinian","Hard coral_encrusting"
"tusmas","Tubastraea_massive","Tubastraea","massive","Scleractinian","Hard coral_massive"
"udocom","Udotea_corticated_macrophyte","Udotea","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"ulvfol","Ulva_foliose","Ulva","foliose","Macroalgae","Macroalgae_corticated_foliose"
"unktws","unknown_TWS","unknown","TWS","Other","TWS"
"valcof","Valonia_corticated_foliose","Valonia","corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"vimwhi","Viminella_whip","Viminella","whip","Gorgonian","Gorgonian_whip"
"wantws","wand_TWS","wand","TWS","Other","TWS"
"xesmas","Xestospongia_massive","Xestospongia","massive","Sponge","Sponge_massive"
"xnaclu","Xenia/Heteroxenia_clustered","Xenia/Heteroxenia","clustered","Octocoral","Soft coral_clustered"
"zoaenc","Zoanthus_encrusting","Zoanthus","encrusting","Other Sessile Invertebrates","Zoanthid_encrusting"
"zoamas","Zoanthus_massive","Zoanthus","massive","Other Sessile Invertebrates","Zoanthid_massive"
"zoncof","Zonaria_corticated_foliose","Zonaria","corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
