"Reg.Dep","Acanthogorgia_fan","Acropora_bushy","Alcyonacea_arborescent","Alcyonacea_bushy","Alveopora_encrusting","Annella_fan","Antipatharia_bushy","Antipatharia_bushy1","Asteroidea_other_life","Bivalvia_other_life","Briareum_encrusting","Bryozoa_encrusting","Clavelina_clustered","Cliona_encrusting","Coscinaraea_encrusting","Cyphastrea_massive","Cyphastrea_spp/Turbinaria_radicalis_encrusting","Delisea_corticated_macrophyte","Echinophyllia/Oxypora_encrusting","Echinopora_encrusting","Echinopora_foliose","Euplexaura_arborescent","Euplexaura_fan","Fimbriaphyllia_massive","Heteractis_encrusting","Hydnophora_encrusting","Hydrozoa_bushy","Hydrozoa_plumose","Isis_arborescent","Laurencia_corticated_macrophyte","Leptastrea_encrusting","Leptoseris_encrusting","Lissoclinum_encrusting","Lithophyllon_encrusting","Lithophyllon_foliose","Litophyton_bushy","Lobophora_corticated_foliose","Lobophyllia_encrusting","Merulinidae_spp1_encrusting","Merulinidae_spp2_encrusting","Millepora_encrusting","Montipora_foliose","Mycedium_encrusting","Mycedium_foliose","Pachyseris_encrusting","Pachyseris_foliose","Palythoa_encrusting","Paragoniastrea_encrusting","Pavona_encrusting","Pavona_foliose","Pavona_massive","Peyssonnelia_cca","Physophyllia_encrusting","Platygyra_encrusting","Plesiastrea_encrusting","Pocillopora_bushy","Porites/Montipora_encrusting","Porites_foliose","Porites_massive","Psammocora_encrusting","Psammocora_massive","Scleronephthya_bushy","Siphonogorgia_bushy","Sponge_encrusting","Sponge_massive","Sponge_tubular","Stereonephthya_bushy","Stylophora_bushy","Tubastraea/Cladopsammia_bushy","Turbinaria_encrusting","Turf_filamentous","Turf_sedimented","Xestospongia_massive","Zoanthus_encrusting","hard_coral_encrusting","other_life","others_cca","Alcyonacea_fan","Anthogorgia_fan","Antipatharia_arborescent1","Antipatharia_arborescent2","Antipatharia_bushy2","Antipatharia_whip","Bebryce_bushy","Bebryce_fan","Bryozoa_bushy","Carijoa_bushy","Coelogorgia_arborescent","Cyathelia_bushy","Cycloseris_encrusting","Dendronephthya_bushy","Dichotomaria_articulated_calcareous","Ellisella/Juncella_arborescent","Ellisella/Juncella_whip","Melithaeidae_fan","Nemanthus_encrusting","Nephthyigorgia_bushy","Red_algae_articulated_calcareous","Sponge_flabellate","Sponge_papillate","Sponge_repent_branching","Tubastraea_encrusting","Tubastraea_massive","Viminella_whip","Acanthastrea_encrusting","Acropora_encrusting","Acropora_tabular","Algae_unknown_sp2","Aphanta_corticated_macrophyte","Asterospicularia_clustered","Astreopora_encrusting","Chaetomorpha_corticated_macrophyte","Chlorophyta_foliose1","Corallimorpharia_encrusting3","Corallimorpharia_encrusting4","Corallina_articulated_calcareous","Coscinaraea_massive","Diadema_other_life","Dictyota_corticated_foliose","Echinometridae_other_life","Galaxea_massive","Gastropoda_other_life","Goniopora_encrusting","Halymenia_foliose","Holothuroidea_spp","Hypnea_corticated_macrophyte","Leptastrea_massive","Lobophyllia_massive","Meristotheca_corticated_macrophyte","Merulinidae_spp1_massive","Merulinidae_spp2_massive","Oulophyllia_encrusting","Platygyra_massive","Pocillopora_tabular","Red_algae_corticated_foliose","Sabellastarte_other_life","Sponge_arborescent","Terpios_encrusting","Turbinaria_foliose","Acropora_arborescent","Astrea_encrusting","Astreopora_foliose","Astreopora_massive","Brown_algae_corticated_foliose","Caementabunda_bushy","Capnella_bushy","Caulastrea_massive","Clavularia_clustered","Codium_corticated_macrophyte","Coeloseris_massive","Conglomeratusclera_bushy","Corallimorpharia_encrusting","Corallimorpharia_encrusting1","Corallimorpharia_encrusting2","Crinoidae_other_life","Cyanobacteria_filamentous","Dictyopteris_foliose","Dictyosphaeria_encrusting like","Diploastrea_massive","Euphyllia_massive","Galaxea_encrusting","Gardineroseris_encrusting","Goniopora_massive","Heliopora_bushy","Heliopora_encrusting","Hydrozoa_arborescent","Isopora_arborescent","Isopora_columnar","Isopora_encrusting","Isopora_massive","Lemnalia_bushy","Leptoria_encrustring","Lobactis_massive","Lobophytum_lobate","Merulina_encrusting","Millepora_bushy","Neomeris_corticated_foliose","Osteichthyes_other_life","Porites_columnar","Portieria_corticated_macrophyte","Rhytisma_encrusting","Sarcophyton_lobate","Sarcophyton_massive","Sargassum_leathery_macrophyte","Sinularia/Cladiella/Klyxum_bushy","Sinularia/Cladiella/Klyxum_digitate","Spatoglossum/Stypopodium_corticated_foliose","Stylocoeniella_encrusting","Tricleocarpa_articulated_calcareous","Tubipora_massive","Turbinaria_corticated_foliose","Xenia/Heteroxenia_clustered","Algae_unknown_sp1","Alveopora_massive","Cycloseris_massive","Entacmaea_encrusting","Lohowia_encrusting","Pectinia_encrusting","Seriatopora_bushy","Sinularia/Cladiella/Klyxum_lobate","Zonaria_corticated_foliose","Asparagopsis_corticated_macrophyte","Chlorodesmis_filamentous","Coeloseris_encrusting","Gardineroseris_massive","Halimeda_articulated_calcareouseous","Leptoria_massive","Liagora/Neoizziella_articulated_calcareous","Lobophytum_massive","Tridacna_encrusting","Amphiroa_articulated_calcareous","Caulerpa_corticated_macrophyte","Echinophyllia/Oxypora_massive","Galaxaura_articulated_calcareous","Hydonophora_arborescent/Montipora_bushy (crasinata-like)","Hydropuntia_corticated_macrophyte","Merulina_foliose","Nudibranch_spp","Paguroidea_other_life","Pleuractis_massive","Sponge_globular","Anacropora_bushy","Fungiidae_massive","Padina_corticated_foliose","Podabacia_encrusting","Turbinaria_massive","Phymanthus_encrusting","Red_filamentous_algae","Spyridia_corticated_macrophyte","Valonia_corticated_foliose"
"North_15",2,10,6,2,1,5,1,6,1,1,5,3,1,51,6,3,209,20,305,17,148,1,3,1,1,18,3,39,1,1,19,275,4,41,13,1,1,1,228,130,1,2,161,22,124,92,58,44,9,15,15,122,6,184,29,1,125,10,4,77,2,1,2,105,4,1,4,1,2,243,2223,265,56,1,38,4,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North_30",1,0,3,14,0,0,20,64,0,0,0,4,0,0,0,0,3,0,0,0,0,5,5,0,0,0,8,19,0,0,0,26,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,23,1,729,8,7,0,0,81,0,1559,606,19,2,3,4,57,8,13,14,33,5,1,9,6,35,3,3,1,1,9,1,16,6,4,7,1,1,10,1,1,49,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North_5",0,50,0,0,0,0,0,0,0,0,0,0,0,8,5,31,30,0,5,46,109,0,0,0,0,20,0,0,0,121,52,0,2,0,0,0,61,6,182,96,4,6,0,0,0,0,476,13,10,0,6,32,0,221,0,25,278,0,41,37,5,0,0,54,1,2,4,146,0,8,3050,254,1,38,32,0,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,38,63,18,9,88,1,2,2,1,12,11,2,1,1,2,36,1,2,2,1,1,9,3,6,2,119,51,2,18,11,25,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green Island_15",0,51,0,0,2,0,1,0,0,0,6,0,0,7,1,8,11,0,29,29,0,0,0,0,0,22,25,0,4,1,2,2,0,0,0,230,1,4,30,14,106,78,3,6,5,0,3,1,20,0,0,151,0,11,0,135,499,3,161,1,0,0,0,48,17,2,0,12,0,20,1357,137,0,0,23,4,577,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,27,0,283,0,0,0,2,2,46,0,6,0,9,0,0,0,0,18,0,11,11,0,9,12,2,0,5,0,0,27,3,5,24,1,1,4,2,177,1,7,826,1,4,4,9,3,78,2,23,3,49,4,14,8,3,1,61,1,473,29,26,2,1,23,3,28,1,1,3,4,9,5,2,11,2,3,298,6,3,12,1,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green Island_30",0,27,0,10,0,0,0,0,0,0,0,0,2,0,0,2,2,0,5,0,0,0,0,0,0,2,10,4,0,0,2,1,2,0,0,34,20,12,2,6,1,6,6,0,195,1,0,6,4,0,0,72,0,1,0,30,140,0,41,13,1,0,0,23,103,1,0,2,0,1,900,192,8,0,7,3,651,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,0,0,0,7,0,200,0,0,0,0,0,5,0,0,0,3,0,0,0,0,8,0,11,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,44,0,0,713,0,4,0,7,4,0,1,7,0,1,12,9,0,0,0,2,0,7,0,24,0,0,0,4,0,0,0,0,0,37,1,2,0,1,2,4,1,7,7,0,185,9,1,1,6,19,13,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green Island_5",0,79,0,0,0,0,0,0,0,0,0,0,0,184,1,1,14,0,0,4,0,0,0,0,0,25,2,0,0,8,0,0,0,0,0,3,0,10,79,20,149,844,0,0,2,0,18,0,9,0,1,36,0,6,0,273,1202,1,11,1,0,0,0,7,1,0,0,6,0,2,2290,223,0,0,11,1,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,78,0,0,19,0,0,0,0,0,0,0,0,4,1,5,1,19,0,0,0,0,11,0,28,26,0,11,0,0,0,0,203,3,15,0,0,0,0,0,0,0,8,0,67,130,0,134,0,5,2,1,5,0,5,131,1,6,26,7,0,0,0,61,0,0,2,0,2,0,116,0,1,14,0,14,2,0,0,0,98,0,0,1,0,2,376,0,0,0,3,1,0,0,0,0,1,1,15,3,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xiaoliuqiu_15",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,9,29,3,0,0,0,2,1,0,0,0,3,3,0,0,0,0,0,0,23,182,47,26,37,13,0,65,4,0,6,16,0,1,316,0,110,0,140,125,2,96,0,0,0,0,14,2,2,0,0,0,2,3103,808,0,0,23,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,71,0,323,0,0,0,0,1,9,0,1,2,2,0,2,3,0,42,0,71,53,0,89,0,0,0,0,0,0,0,0,1,17,1,0,0,0,0,0,0,0,0,0,0,332,123,0,0,63,1,12,0,14,2,4,0,0,0,0,0,0,0,1,17,49,0,0,0,22,0,0,0,6,0,16,14,1,0,64,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,2,2,2,0,0,0,40,1,1,3,8,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0
"Xiaoliuqiu_30",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,1,13,11,0,25,35,1,206,0,0,0,0,0,0,203,0,12,0,7,45,4,35,0,0,0,0,28,0,1,0,0,0,1,2153,253,0,0,4,1,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,21,0,118,0,0,0,0,0,8,0,1,0,4,0,0,2,0,2,0,4,4,0,3,0,0,1,2,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,16,224,319,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,5,0,47,3,2,0,5,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,137,9,3,3,2,0,0,0,0
"Xiaoliuqiu_5",0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,16,44,0,0,0,0,0,0,0,0,3,0,0,0,78,2,0,0,0,0,0,0,3,25,57,6,0,0,0,0,0,0,0,4,0,0,48,0,26,0,235,63,0,196,0,0,0,0,4,0,0,0,0,0,14,5221,739,0,0,5,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,1,0,2,0,0,0,19,0,12,0,7,49,0,7,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,23,6,0,1,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,8,3,0,0,2,0,0,0,0,95,0,0,0,2,5,0,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,50,9,0,0,1,67,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,10,1
